Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  1.166000000000000e+01, -2.888251092878255e-01,  7.978590047433820e-02, -8.091751954924242e-03,  7.248370947506243e-01, -3.394048580995568e-03, -8.091751954937961e-03, -5.409119318582878e-02, -1.145677820778923e-01,  1.183732838041200e-01,  5.334276439942754e-01,  4.121547528247856e-01,  5.320617531355500e-01,  6.479130887235657e-02
  1.167000000000000e+01, -2.889126006529700e-01,  7.982656760337270e-02, -8.056570008368158e-03,  7.248710307545938e-01, -3.455869790996324e-03, -8.056570008271695e-03, -5.434477441252494e-02, -1.145330746715045e-01,  1.186090756143338e-01,  5.334817691992720e-01,  4.121712748600388e-01,  5.325973079040667e-01,  6.474109748639884e-02
  1.168000000000000e+01, -2.890094239638308e-01,  7.987155383989597e-02, -8.017713052497074e-03,  7.249084499359172e-01, -3.524197302227972e-03, -8.017713052469379e-03, -5.462663714716931e-02, -1.144837970946457e-01,  1.188694052954870e-01,  5.335713719364715e-01,  4.121411841829214e-01,  5.331642209310670e-01,  6.468626566861153e-02
  1.169000000000000e+01, -2.891160126624534e-01,  7.992106339909477e-02, -7.974993583250298e-03,  7.249495395542782e-01, -3.599349313923250e-03, -7.974993583292062e-03, -5.493785451456934e-02, -1.144189404662182e-01,  1.191555318024136e-01,  5.336988768598390e-01,  4.120606848855008e-01,  5.337645546914356e-01,  6.462654685806883e-02
  1.170000000000000e+01, -2.892327908253229e-01,  7.997529656637181e-02, -7.928225812372318e-03,  7.249944861816785e-01, -3.681639238332535e-03, -7.928225812428332e-03, -5.527944424903541e-02, -1.143374900558201e-01,  1.194687028556437e-01,  5.338667195983283e-01,  4.119258893054026e-01,  5.344003680923972e-01,  6.456167666039303e-02
  1.171000000000000e+01, -2.893601701808244e-01,  8.003444830768380e-02, -7.877226865682319e-03,  7.250434745118168e-01, -3.771373567354797e-03, -7.877226865710508e-03, -5.565236027281406e-02, -1.142384302188060e-01,  1.198101467928475e-01,  5.340773347004659e-01,  4.117328349638635e-01,  5.350736791822861e-01,  6.449139619132489e-02
  1.172000000000000e+01, -2.894985468430633e-01,  8.009870670916275e-02, -7.821818266517110e-03,  7.250966857783683e-01, -3.868849359824011e-03, -7.821818266559692e-03, -5.605748604540439e-02, -1.141207466951570e-01,  1.201810623700877e-01,  5.343331444529306e-01,  4.114775050726152e-01,  5.357864369792003e-01,  6.441545579602227e-02
  1.173000000000000e+01, -2.896482978438181e-01,  8.016825129803862e-02, -7.761827611005951e-03,  7.251542959156424e-01, -3.974351472524118e-03, -7.761827611005951e-03, -5.649562898658145e-02, -1.139834275683791e-01,  1.205826071964707e-01,  5.346365500431689e-01,  4.111558462925002e-01,  5.365405024004990e-01,  6.433361736595836e-02
  1.174000000000000e+01, -2.898097775386870e-01,  8.024325131999954e-02, -7.697090229712903e-03,  7.252164737796981e-01, -4.088149771792615e-03, -7.697090229727326e-03, -5.696751354022278e-02, -1.138254649911095e-01,  1.210158863229764e-01,  5.349899244607121e-01,  4.107637854837425e-01,  5.373376263462468e-01,  6.424565595532923e-02
  1.175000000000000e+01, -2.899833142576702e-01,  8.032386423424032e-02, -7.627450296812606e-03,  7.252833802199961e-01, -4.210496999038194e-03, -7.627450296827162e-03, -5.747376800411974e-02, -1.136458619000387e-01,  1.214819449324978e-01,  5.353956044024591e-01,  4.102972521698200e-01,  5.381794144882073e-01,  6.415136205516549e-02
