Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  7.490000000000000e+00, -3.114637696520506e-01,  9.768235496821198e-02,  3.371221719827015e-02,  7.875205171279474e-01, -5.213781368752279e-02,  3.371221719844144e-02,  3.721455109976439e-01, -3.147908028861398e-01,  4.232785105141603e-01,  1.318266318671445e+00,  8.314038603320907e-01, -9.889781706647446e-01,  2.367095074004398e-02
  7.500000000000000e+00, -3.114506308506450e-01,  9.767739538981224e-02,  3.371168429732700e-02,  7.875239734531803e-01, -5.213377657741347e-02,  3.371168429753451e-02,  3.722601346450869e-01, -3.146732326556805e-01,  4.232810561185111e-01,  1.318111828506036e+00,  8.315564553278290e-01, -9.893700087345849e-01,  2.365800107709615e-02
  7.510000000000000e+00, -3.114380887286793e-01,  9.767271070868011e-02,  3.371139441616195e-02,  7.875276388618185e-01, -5.213013851907444e-02,  3.371139441640240e-02,  3.723728656703278e-01, -3.145601886160678e-01,  4.232851288500371e-01,  1.317957982842653e+00,  8.317031036159079e-01, -9.897437603148731e-01,  2.364665698704822e-02
  7.520000000000000e+00, -3.114261934299621e-01,  9.766832334907471e-02,  3.371136498408409e-02,  7.875315259407282e-01, -5.212693011073499e-02,  3.371136498433772e-02,  3.724834998236948e-01, -3.144517779707633e-01,  4.232908346337239e-01,  1.317805076648991e+00,  8.318431911294154e-01, -9.900993966276090e-01,  2.363686378774250e-02
  7.530000000000000e+00, -3.114149952798806e-01,  9.766425607636253e-02,  3.371161463840631e-02,  7.875356492383663e-01, -5.212418319046686e-02,  3.371161463869617e-02,  3.725918494525953e-01, -3.143480732537388e-01,  4.232982883748533e-01,  1.317653397750224e+00,  8.319761753143445e-01, -9.904369893665911e-01,  2.362855291810947e-02
  7.540000000000000e+00, -3.114045411044434e-01,  9.766053016535237e-02,  3.371216112736611e-02,  7.875400229735420e-01, -5.212192778411340e-02,  3.371216112768232e-02,  3.726977461184511e-01, -3.142491103661700e-01,  4.233076000460640e-01,  1.317503219404770e+00,  8.321015797405161e-01, -9.907567159661643e-01,  2.362164127888395e-02
  7.550000000000000e+00, -3.113948703679522e-01,  9.765716347307141e-02,  3.371301908615298e-02,  7.875446585921048e-01, -5.212018887982173e-02,  3.371301908647577e-02,  3.728010429886988e-01, -3.141548881010343e-01,  4.233188599134524e-01,  1.317354792573131e+00,  8.322189765578835e-01, -9.910588603628037e-01,  2.361603258749980e-02
  7.560000000000000e+00, -3.113860138280435e-01,  9.765416978413488e-02,  3.371419933534391e-02,  7.875495640374086e-01, -5.211898537635640e-02,  3.371419933567658e-02,  3.729016167689638e-01, -3.140653731516597e-01,  4.233321339369823e-01,  1.317208343000354e+00,  8.323279756495846e-01, -9.913438029212369e-01,  2.361162002724823e-02
  7.570000000000000e+00, -3.113779928601937e-01,  9.765155852596386e-02,  3.371570872242088e-02,  7.875547437080991e-01, -5.211832974596842e-02,  3.371570872277329e-02,  3.729993716081774e-01, -3.139805072409553e-01,  4.233474629156166e-01,  1.317064069211938e+00,  8.324282215709929e-01, -9.916120037206396e-01,  2.360828798032071e-02
  7.580000000000000e+00, -3.113708172107401e-01,  9.764933368174278e-02,  3.371754897858192e-02,  7.875601972883377e-01, -5.211822630627005e-02,  3.371754897892443e-02,  3.730942427686013e-01, -3.139002101173705e-01,  4.233648550221174e-01,  1.316922137742470e+00,  8.325193894678080e-01, -9.918639854994582e-01,  2.360591228276618e-02
