Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  1.465000000000000e+01, -3.753218404910887e-02, -2.532113945582293e-01,  5.800680861038859e-02, -3.682573982070203e-02,  7.055400286294283e-01, -1.178317072799479e-02, -2.932269928198495e-02,  4.506835888608409e-01,  9.328672144652257e-02, -2.502442697505102e-13, -1.084221420838150e-03, -6.591949208711867e-17,  5.634381849972670e-15
  1.466000000000000e+01, -3.753255135124325e-02, -2.532106616247554e-01,  5.800639951549473e-02, -3.682637269886539e-02,  7.055395769641365e-01, -1.178361324682045e-02, -2.932431227668159e-02,  4.506837324550577e-01,  9.328866693976065e-02, -2.498001805406602e-13, -1.084221420837429e-03, -4.787836793695988e-16,  5.023759186428833e-15
  1.467000000000000e+01, -3.753288761640488e-02, -2.532100013656831e-01,  5.800602907993852e-02, -3.682694990134126e-02,  7.055391619615984e-01, -1.178401497853188e-02, -2.932581267695499e-02,  4.506838559082054e-01,  9.329036454458790e-02, -2.494671136332727e-13, -1.084221420836873e-03, -2.255140518769849e-16,  4.302114220422481e-15
  1.468000000000000e+01, -3.753319070347474e-02, -2.532094185726693e-01,  5.800569988605191e-02, -3.682746763284873e-02,  7.055387861819838e-01, -1.178437317936144e-02, -2.932719191641654e-02,  4.506839515186264e-01,  9.329179895673884e-02, -2.490230244234226e-13, -1.084221420836318e-03, -3.538835890992686e-16,  3.580469254416129e-15
  1.469000000000000e+01, -3.753345847914123e-02, -2.532089180139276e-01,  5.800541450447801e-02, -3.682792211313216e-02,  7.055384521769864e-01, -1.178468511742564e-02, -2.932844215714616e-02,  4.506840264871538e-01,  9.329295480844385e-02, -2.484679129111100e-13, -1.084236304927471e-03,  5.204170427930420e-17,  2.886579864025406e-15
  1.470000000000000e+01, -3.753368882964290e-02, -2.532085044083176e-01,  5.800517548015348e-02, -3.682830959775915e-02,  7.055381624756927e-01, -1.178494808767485e-02, -2.932955466899949e-02,  4.506840680373844e-01,  9.329381713888078e-02, -2.482458683061849e-13, -1.084236304927138e-03,  4.857225732735059e-16,  2.192690473634684e-15
  1.471000000000000e+01, -3.753387967286633e-02, -2.532081823991071e-01,  5.800498531803952e-02, -3.682862639932082e-02,  7.055379195700423e-01, -1.178515942711515e-02, -2.933052019334818e-02,  4.506840500289743e-01,  9.329437140102911e-02, -2.478017790963349e-13, -1.084236304926527e-03,  1.387778780781446e-17,  1.554312234475219e-15
  1.472000000000000e+01, -3.753402896994813e-02, -2.532079565289247e-01,  5.800484646947871e-02, -3.682886890787457e-02,  7.055377259007829e-01, -1.178531652941126e-02, -2.933133382836695e-02,  4.506840341965491e-01,  9.329460240820171e-02, -2.473576898864849e-13, -1.084236304925805e-03,  3.469446951953614e-18,  8.604228440844963e-16
  1.473000000000000e+01, -3.753413473666105e-02, -2.532078312151991e-01,  5.800476131881223e-02, -3.682903361091761e-02,  7.055375838437478e-01, -1.178541685918243e-02, -2.933198471680980e-02,  4.506839534237401e-01,  9.329449682679217e-02, -2.466915560717098e-13, -1.084236304925361e-03,  4.649058915617842e-16,  1.387778780781446e-16
  1.474000000000000e+01, -3.753419505650533e-02, -2.532078107214786e-01,  5.800473216783577e-02, -3.682911711646495e-02,  7.055374956941070e-01, -1.178545796858387e-02, -2.933246854035689e-02,  4.506838720943889e-01,  9.329404036079655e-02, -2.460254222569347e-13, -1.084236304924806e-03,  0.000000000000000e+00, -5.551115123125783e-16
  1.475000000000000e+01, -3.753420809430612e-02, -2.532078991276378e-01,  5.800476121964598e-02, -3.682911617690792e-02,  7.055374636501015e-01, -1.178543751449414e-02, -2.933277490436294e-02,  4.506837210266900e-01,  9.329322080260029e-02, -2.452482661396971e-13, -1.084236304924528e-03, -2.081668171172168e-16, -1.193489751472043e-15
  1.476000000000000e+01, -3.753417210558503e-02, -2.532081003093838e-01,  5.800485056750775e-02, -3.682902770577106e-02,  7.055374898016024e-01, -1.178535327047097e-02, -2.933289804969927e-02,  4.506835208068175e-01,  9.329202560347828e-02, -2.448041769298470e-13, -1.084236304924306e-03, -2.081668171172169e-17, -1.776356839400250e-15
  1.477000000000000e+01, -3.753408544199149e-02, -2.532084179272059e-01,  5.800500218874998e-02, -3.682884878683708e-02,  7.055375761236493e-01, -1.178520313325402e-02, -2.933283446075600e-02,  4.506833312829072e-01,  9.329044246890726e-02, -2.440270208126094e-13, -1.084236304923751e-03,  4.857225732735059e-17, -2.525757381022231e-15
  1.478000000000000e+01, -3.753394655722185e-02, -2.532088554135369e-01,  5.800521793776447e-02, -3.682857668473982e-02,  7.055377244691907e-01, -1.178498513030378e-02, -2.933257402352679e-02,  4.506830660381759e-01,  9.328846146729496e-02, -2.438049762076844e-13, -1.084236304923306e-03,  2.740863092043355e-16, -3.219646771412954e-15
