Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.950000000000000e+01,  1.237726478820896e+00,  1.419710787651862e-01,  1.319880590500900e-01,  1.476858744686863e+00,  7.929585594278404e-02, -5.613583367954424e-02
  1.951000000000000e+01,  1.237665116996395e+00,  1.420779109153121e-01,  1.320681816466112e-01,  1.476817382393452e+00,  7.929322565504612e-02, -5.620535893672274e-02
  1.952000000000000e+01,  1.237599502123099e+00,  1.421866712339859e-01,  1.321533780721395e-01,  1.476772956660846e+00,  7.929105304243879e-02, -5.627634548995654e-02
  1.953000000000000e+01,  1.237528353810887e+00,  1.422978966158177e-01,  1.322452548832944e-01,  1.476724484448481e+00,  7.928956450101093e-02, -5.634900074371432e-02
  1.954000000000000e+01,  1.237451141044088e+00,  1.424117380446552e-01,  1.323443996085716e-01,  1.476671589363636e+00,  7.928883640874528e-02, -5.642339947721567e-02
  1.955000000000000e+01,  1.237367859401151e+00,  1.425281329466590e-01,  1.324507406103053e-01,  1.476614296554266e+00,  7.928887537139861e-02, -5.649946496644228e-02
  1.956000000000000e+01,  1.237278305068276e+00,  1.426471193401353e-01,  1.325644467730649e-01,  1.476552483158791e+00,  7.928971089549131e-02, -5.657718138428783e-02
  1.957000000000000e+01,  1.237182278399646e+00,  1.427687488904812e-01,  1.326856732043381e-01,  1.476486033319210e+00,  7.929136944051603e-02, -5.665653342882047e-02
  1.958000000000000e+01,  1.237079585477384e+00,  1.428930886026869e-01,  1.328145588582127e-01,  1.476414839263241e+00,  7.929387436188970e-02, -5.673750615428293e-02
  1.959000000000000e+01,  1.236970039431665e+00,  1.430202206331441e-01,  1.329512245674314e-01,  1.476338802156604e+00,  7.929724601648704e-02, -5.682008435936196e-02
  1.960000000000000e+01,  1.236853461738340e+00,  1.431502402004015e-01,  1.330957716621123e-01,  1.476257832901213e+00,  7.930150207931463e-02, -5.690425166094589e-02
  1.961000000000000e+01,  1.236729683413375e+00,  1.432832539986497e-01,  1.332482808008223e-01,  1.476171853042215e+00,  7.930665752172873e-02, -5.698999001374237e-02
  1.962000000000000e+01,  1.236598546151548e+00,  1.434193801418868e-01,  1.334088107505440e-01,  1.476080795805791e+00,  7.931272405760646e-02, -5.707727958242634e-02
  1.963000000000000e+01,  1.236459903665522e+00,  1.435587476371467e-01,  1.335773973424385e-01,  1.475984607099985e+00,  7.931970955556861e-02, -5.716609818436289e-02
  1.964000000000000e+01,  1.236313623268622e+00,  1.437014947519624e-01,  1.337540527427491e-01,  1.475883246445665e+00,  7.932761769091279e-02, -5.725642053185467e-02
  1.965000000000000e+01,  1.236159587393914e+00,  1.438477679304651e-01,  1.339387648858303e-01,  1.475776687976101e+00,  7.933644763349729e-02, -5.734821793717543e-02
  1.966000000000000e+01,  1.235997694921836e+00,  1.439977220322881e-01,  1.341314967399061e-01,  1.475664921546294e+00,  7.934619373382866e-02, -5.744145854545270e-02
  1.967000000000000e+01,  1.235827862700353e+00,  1.441515209257316e-01,  1.343321852506670e-01,  1.475547953851410e+00,  7.935684533643934e-02, -5.753610772448965e-02
  1.968000000000000e+01,  1.235650027628176e+00,  1.443093367318631e-01,  1.345407403450792e-01,  1.475425809471694e+00,  7.936838653644326e-02, -5.763212786500190e-02
  1.969000000000000e+01,  1.235464148910229e+00,  1.444713477763027e-01,  1.347570444732092e-01,  1.475298531887217e+00,  7.938079567742500e-02, -5.772947766301600e-02
  1.970000000000000e+01,  1.235270209960244e+00,  1.446377363388969e-01,  1.349809527721003e-01,  1.475166184413569e+00,  7.939404476758757e-02, -5.782811159038707e-02
  1.971000000000000e+01,  1.235068220077675e+00,  1.448086860997324e-01,  1.352122937058708e-01,  1.475028850900318e+00,  7.940809906849559e-02, -5.792797940760567e-02
  1.972000000000000e+01,  1.234858216135811e+00,  1.449843796302754e-01,  1.354508699562071e-01,  1.474886636284917e+00,  7.942291694932943e-02, -5.802902563605205e-02
  1.973000000000000e+01,  1.234640264210390e+00,  1.451649967245583e-01,  1.356964593643233e-01,  1.474739667161524e+00,  7.943844990285957e-02, -5.813118953988175e-02
  1.974000000000000e+01,  1.234414461043481e+00,  1.453507132720322e-01,  1.359488159483758e-01,  1.474588092255645e+00,  7.945464253925499e-02, -5.823440564535515e-02
