Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  1.517000000000000e+01,  5.166347619001207e-01, -3.082614382361235e-01, -2.823643190190625e-01,  4.162236419005440e-01,  7.094581542618985e-01, -2.823643190156190e-01,  1.369312386879088e+00, -1.202494366821001e-01, -2.504153334407838e+00, -1.993107926104854e+00, -2.485247172589755e+00,  1.035353651082628e+00,  6.515697163391335e-02
  1.518000000000000e+01,  5.166247133223180e-01, -3.082560695491212e-01, -2.823631686522792e-01,  4.162255188233518e-01,  7.094442837939376e-01, -2.823631686488998e-01,  1.369329819950309e+00, -1.202023083098295e-01, -2.504103166859752e+00, -1.993047306689781e+00, -2.485091039546802e+00,  1.035380377233945e+00,  6.516405181306778e-02
  1.519000000000000e+01,  5.166128669591170e-01, -3.082497507067248e-01, -2.823618173765093e-01,  4.162277107635957e-01,  7.094280084669795e-01, -2.823618173732088e-01,  1.369349681356740e+00, -1.201529889620947e-01, -2.504044366312699e+00, -1.992986853900047e+00, -2.484942586378910e+00,  1.035405767134976e+00,  6.517098504735637e-02
  1.520000000000000e+01,  5.165992373785158e-01, -3.082424900779168e-01, -2.823602669755667e-01,  4.162302139056388e-01,  7.094093527690104e-01, -2.823602669723645e-01,  1.369371906757154e+00, -1.201015437287094e-01, -2.503977024869776e+00, -1.992926714282329e+00, -2.484802308972305e+00,  1.035429656358852e+00,  6.517775285732542e-02
  1.521000000000000e+01,  5.165838633204470e-01, -3.082343087179131e-01, -2.823585218631208e-01,  4.162330203916860e-01,  7.093883728704253e-01, -2.823585218600291e-01,  1.369396405095733e+00, -1.200480577832582e-01, -2.503901347765013e+00, -1.992867035553243e+00, -2.484670581479635e+00,  1.035451876020140e+00,  6.518434341665616e-02
  1.522000000000000e+01,  5.165642455145926e-01, -3.082239710576842e-01, -2.823563462813534e-01,  4.162363953085134e-01,  7.093623568808303e-01, -2.823563462755584e-01,  1.369420860482855e+00, -1.199857348826733e-01, -2.503808155989399e+00, -1.992806637700063e+00, -2.484555261965178e+00,  1.035477762731051e+00,  6.519136717582727e-02
  1.523000000000000e+01,  5.165456246555867e-01, -3.082140772321689e-01, -2.823542385122731e-01,  4.162397644046007e-01,  7.093370602169258e-01, -2.823542385063315e-01,  1.369449509910894e+00, -1.199285906078048e-01, -2.503717003966866e+00, -1.992748314008783e+00, -2.484441243013052e+00,  1.035496131708424e+00,  6.519759149944701e-02
  1.524000000000000e+01,  5.165255990787051e-01, -3.082034415411536e-01, -2.823519729220504e-01,  4.162433790943474e-01,  7.093098888283325e-01, -2.823519729163494e-01,  1.369480020174005e+00, -1.198699953411846e-01, -2.503619124580336e+00, -1.992690897724455e+00, -2.484336014290255e+00,  1.035512235304156e+00,  6.520363387762555e-02
  1.525000000000000e+01,  5.165042799721768e-01, -3.081921244608439e-01, -2.823495625906118e-01,  4.162472165385551e-01,  7.092810041665154e-01, -2.823495625851845e-01,  1.369512126925462e+00, -1.198100696803950e-01, -2.503515108381640e+00, -1.992634485080162e+00, -2.484239596668127e+00,  1.035526046551349e+00,  6.520952096164707e-02
  1.526000000000000e+01,  5.164818464502358e-01, -3.081802209308606e-01, -2.823470274799049e-01,  4.162512448927514e-01,  7.092506479134668e-01, -2.823470274747736e-01,  1.369545569874032e+00, -1.197490890697162e-01, -2.503405824582694e+00, -1.992579185473457e+00, -2.484151779316420e+00,  1.035537474743937e+00,  6.521527381483341e-02
  1.527000000000000e+01,  5.164584984820384e-01, -3.081678369303147e-01, -2.823443899318907e-01,  4.162554286026321e-01,  7.092190897667017e-01, -2.823443899270706e-01,  1.369580059400704e+00, -1.196873653895259e-01, -2.503292243115230e+00, -1.992525102728391e+00, -2.484072269802410e+00,  1.035546461880644e+00,  6.522091458715701e-02
  1.528000000000000e+01,  5.164344516361030e-01, -3.081550867169582e-01, -2.823416741003237e-01,  4.162597292856106e-01,  7.091866205306134e-01, -2.823416740958331e-01,  1.369615282537355e+00, -1.196252396038614e-01, -2.503175409949208e+00, -1.992472339486362e+00, -2.484000720603734e+00,  1.035552986507753e+00,  6.522646404048965e-02
  1.529000000000000e+01,  5.164099331209199e-01, -3.081420906978589e-01, -2.823389054977662e-01,  4.162641064949096e-01,  7.091535465461969e-01, -2.823389054936162e-01,  1.369650910765539e+00, -1.195630766406062e-01, -2.503056426864584e+00, -1.992421001685762e+00, -2.483936744615811e+00,  1.035557063157904e+00,  6.523194113843657e-02
  1.530000000000000e+01,  5.163851778918874e-01, -3.081289733263461e-01, -2.823361105427449e-01,  4.162685184911133e-01,  7.091201841453469e-01, -2.823361105389440e-01,  1.369686608310205e+00, -1.195012596885040e-01, -2.502936431251631e+00, -1.992371202046884e+00, -2.483879921729015e+00,  1.035558737963555e+00,  6.523736354910023e-02
  1.531000000000000e+01,  5.163604245060508e-01, -3.081158608785628e-01, -2.823333160821619e-01,  4.162729230334600e-01,  7.090868538638677e-01, -2.823333160787133e-01,  1.369722039915243e+00, -1.194401844187496e-01, -2.502816575126149e+00, -1.992323061626146e+00, -2.483829802136818e+00,  1.035558088257658e+00,  6.524274696136180e-02
  1.532000000000000e+01,  5.163359115530143e-01, -3.081028795526946e-01, -2.823305489844597e-01,  4.162772780347667e-01,  7.090538755604161e-01, -2.823305489813644e-01,  1.369756876628197e+00, -1.193802569712680e-01, -2.502698007512682e+00, -1.992276708482318e+00, -2.483785906673968e+00,  1.035555232028782e+00,  6.524810243965067e-02
  1.533000000000000e+01,  5.163144591496459e-01, -3.080914223279898e-01, -2.823280760452430e-01,  4.162812861388908e-01,  7.090242999650815e-01, -2.823280760355564e-01,  1.369793812448064e+00, -1.193282755119694e-01, -2.502591046110872e+00, -1.992233978330526e+00, -2.483739663603323e+00,  1.035543755434585e+00,  6.525287997327969e-02
  1.534000000000000e+01,  5.162908801216094e-01, -3.080789516278828e-01, -2.823254195753148e-01,  4.162854442131859e-01,  7.089926975891032e-01, -2.823254195676179e-01,  1.369826251482976e+00, -1.192712812403955e-01, -2.502477526572946e+00, -1.992191443360288e+00, -2.483707447533217e+00,  1.035537645434369e+00,  6.525823330914718e-02
  1.535000000000000e+01,  5.162683029268725e-01, -3.080670111563508e-01, -2.823228746972294e-01,  4.162894256097425e-01,  7.089624410421553e-01, -2.823228746905669e-01,  1.369857287613343e+00, -1.192168954244082e-01, -2.502368842530664e+00, -1.992151147381068e+00, -2.483679662970732e+00,  1.035529756079615e+00,  6.526352169603702e-02
  1.536000000000000e+01,  5.162468294723839e-01, -3.080556574665247e-01, -2.823204544739649e-01,  4.162932068625304e-01,  7.089336865017541e-01, -2.823204544682896e-01,  1.369886603479177e+00, -1.191652409992722e-01, -2.502265572423313e+00, -1.992113180196395e+00, -2.483656093215756e+00,  1.035520530070825e+00,  6.526874675544395e-02
  1.537000000000000e+01,  5.162266273457581e-01, -3.080449785025863e-01, -2.823181776679580e-01,  4.162967597001498e-01,  7.089066534091333e-01, -2.823181776631968e-01,  1.369914014622714e+00, -1.191166273405088e-01, -2.502168500229514e+00, -1.992077685359249e+00, -2.483636286817944e+00,  1.035510192441158e+00,  6.527388481173638e-02
  1.538000000000000e+01,  5.162078294033525e-01, -3.080350439337514e-01, -2.823160591924266e-01,  4.163000617774446e-01,  7.088815153479744e-01, -2.823160591884983e-01,  1.369939378095276e+00, -1.190712921655398e-01, -2.502078245826312e+00, -1.992044801838323e+00, -2.483619866901445e+00,  1.035498978956471e+00,  6.527890846087923e-02
  1.539000000000000e+01,  5.161905367039220e-01, -3.080259066641988e-01, -2.823141104066749e-01,  4.163030962496265e-01,  7.088584036715462e-01, -2.823141104034962e-01,  1.369962591200144e+00, -1.190294155799748e-01, -2.501995277736043e+00, -1.992014657275019e+00, -2.483606515940087e+00,  1.035487146442908e+00,  6.528378361358451e-02
  1.540000000000000e+01,  5.161724465097960e-01, -3.080164291357643e-01, -2.823121129533412e-01,  4.163061064323824e-01,  7.088348264118083e-01, -2.823121129480909e-01,  1.369981463412048e+00, -1.189848466941366e-01, -2.501911166880522e+00, -1.991986096327685e+00, -2.483603180646260e+00,  1.035480298365783e+00,  6.528905255526654e-02
  1.541000000000000e+01,  5.161585293653226e-01, -3.080090721851834e-01, -2.823105415729401e-01,  4.163085558972311e-01,  7.088162021752566e-01, -2.823105415680967e-01,  1.370000364518316e+00, -1.189507112410358e-01, -2.501844285548868e+00, -1.991961818575896e+00, -2.483594584787257e+00,  1.035467723138739e+00,  6.529345755272757e-02
  1.542000000000000e+01,  5.161463711022227e-01, -3.080026413432972e-01, -2.823091664302137e-01,  4.163107034874214e-01,  7.087999046099074e-01, -2.823091664265484e-01,  1.370017122301142e+00, -1.189206211555817e-01, -2.501785735095127e+00, -1.991940582852341e+00, -2.483587870596484e+00,  1.035455198191839e+00,  6.529755135424341e-02
  1.543000000000000e+01,  5.161383941834830e-01, -3.079983245903373e-01, -2.823082133165113e-01,  4.163123106550536e-01,  7.087884905478772e-01, -2.823082133069910e-01,  1.370034623253956e+00, -1.189007191484765e-01, -2.501744094605204e+00, -1.991924025429965e+00, -2.483575614701071e+00,  1.035437088555047e+00,  6.530079710363605e-02
  1.544000000000000e+01,  5.161288893258890e-01, -3.079933206737231e-01, -2.823071499552504e-01,  4.163139421715487e-01,  7.087759234424391e-01, -2.823071499504978e-01,  1.370046158528814e+00, -1.188766135567875e-01, -2.501699098204660e+00, -1.991908410023551e+00, -2.483574517269660e+00,  1.035427787547646e+00,  6.530430292554645e-02
  1.545000000000000e+01,  5.161212354561538e-01, -3.079892842994953e-01, -2.823062898957185e-01,  4.163152701222399e-01,  7.087657524778783e-01, -2.823062898925079e-01,  1.370055909489362e+00, -1.188569874218787e-01, -2.501662635409445e+00, -1.991895760458315e+00, -2.483573781110629e+00,  1.035418992671066e+00,  6.530731635205787e-02
  1.546000000000000e+01,  5.161125733201460e-01, -3.079847873406760e-01, -2.823053533339344e-01,  4.163166286657905e-01,  7.087547678431991e-01, -2.823053533295596e-01,  1.370062199928584e+00, -1.188345216007469e-01, -2.501623722342310e+00, -1.991884091795796e+00, -2.483580816167529e+00,  1.035416466666616e+00,  6.531060668457325e-02
