Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  9.640000000000001e+00, -3.724152931783884e-01,  1.236602468362640e-01,  4.990213352930212e-02,  7.927823536506778e-01, -8.337135370615401e-02,  4.990213352919084e-02,  3.852159653510001e-02, -3.635817752318411e-02,  5.097109642082394e-01,  1.554994867214444e+00,  6.315840900574243e-01, -6.831781022885456e-01, -5.048059379900132e-02
  9.650000000000000e+00, -3.723431960106751e-01,  1.236281989454773e-01,  4.987621456959104e-02,  7.927671960944417e-01, -8.332923942389137e-02,  4.987621456915903e-02,  3.882820122010000e-02, -3.654570096603889e-02,  5.095650773883027e-01,  1.554922619457849e+00,  6.315473440570236e-01, -6.833088983901245e-01, -5.043237350718278e-02
  9.660000000000000e+00, -3.723657348875937e-01,  1.236432840559809e-01,  4.990727240889590e-02,  7.928089241549725e-01, -8.336418287149083e-02,  4.990727240917853e-02,  3.907029470650292e-02, -3.666459152990471e-02,  5.097782596430442e-01,  1.555058778296411e+00,  6.329777086494561e-01, -6.845979984073153e-01, -5.039368573600604e-02
  9.670000000000000e+00, -3.722714168061362e-01,  1.236005001469220e-01,  4.986947653328384e-02,  7.927828246566440e-01, -8.330539689227123e-02,  4.986947653332616e-02,  3.941412548577494e-02, -3.660991551378852e-02,  5.095590100763872e-01,  1.555021092769129e+00,  6.333683657352771e-01, -6.845250441198812e-01, -5.039583075012041e-02
  9.680000000000000e+00, -3.722973893758650e-01,  1.236149767144703e-01,  4.989209478892429e-02,  7.928096889660978e-01, -8.333316989528328e-02,  4.989209478897772e-02,  3.949921456769134e-02, -3.690203605980199e-02,  5.097085276918302e-01,  1.554896999335610e+00,  6.320642805524248e-01, -6.833916757037974e-01, -5.038563687423936e-02
  9.690000000000000e+00, -3.723108385310034e-01,  1.236282919050957e-01,  4.993017140702052e-02,  7.928660841084395e-01, -8.337256262046711e-02,  4.993017140696714e-02,  3.993141685879142e-02, -3.718182518688373e-02,  5.099784179253146e-01,  1.554960699328124e+00,  6.330289115947680e-01, -6.840218811048736e-01, -5.041752965760540e-02
  9.700000000000001e+00, -3.722276087354703e-01,  1.235859569340969e-01,  4.987606525432021e-02,  7.928096066516371e-01, -8.330099722648643e-02,  4.987606525428458e-02,  3.992926746775360e-02, -3.705378771512289e-02,  5.096334272961455e-01,  1.555054787176880e+00,  6.327659507192497e-01, -6.827078295701660e-01, -5.034840712847490e-02
  9.710000000000001e+00, -3.722682268030875e-01,  1.235974530605168e-01,  4.986094885416967e-02,  7.927702596943295e-01, -8.329653061652298e-02,  4.986094885437015e-02,  3.931902499096562e-02, -3.723647930496932e-02,  5.094986710026224e-01,  1.555103466392835e+00,  6.287922804218394e-01, -6.791725229099398e-01, -5.049374863276169e-02
  9.720000000000001e+00, -3.722850341992576e-01,  1.236168561778987e-01,  4.992105145179798e-02,  7.928609109914739e-01, -8.335763788162831e-02,  4.992105145205161e-02,  4.004345848009194e-02, -3.738791259568530e-02,  5.099273462591084e-01,  1.555173420931410e+00,  6.297779148640029e-01, -6.810060317586312e-01, -5.043124984390320e-02
  9.730000000000000e+00, -3.722196195152095e-01,  1.235935384112365e-01,  4.992363125485638e-02,  7.928892093042466e-01, -8.334418277980671e-02,  4.992363125507217e-02,  4.070583625759649e-02, -3.744449263233627e-02,  5.099854894317507e-01,  1.555136759862816e+00,  6.307592105265718e-01, -6.820352327049718e-01, -5.035139493072383e-02
