Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  5.500000000000000e-01,  2.259599323697670e-01,  5.033403175175000e-02,  5.919763602530421e-02,  2.660716928236589e-01, -1.072952559818969e-01,  2.423894295239961e-01
  5.600000000000001e-01,  2.256772333770188e-01,  5.034696721665743e-02,  5.906865104914788e-02,  2.659936400616176e-01, -1.071168128310520e-01,  2.423725438322538e-01
  5.700000000000001e-01,  2.253973695776907e-01,  5.034983275925375e-02,  5.895174910515765e-02,  2.659212833429228e-01, -1.069421591217914e-01,  2.423436542885722e-01
  5.800000000000001e-01,  2.251183552764707e-01,  5.034364773394406e-02,  5.884610216477408e-02,  2.658534875685519e-01, -1.067698299458187e-01,  2.423042206903186e-01
  5.900000000000001e-01,  2.248392212939972e-01,  5.032899399296409e-02,  5.875129729095888e-02,  2.657896256019239e-01, -1.065991902602034e-01,  2.422551805548079e-01
  6.000000000000001e-01,  2.245594105031911e-01,  5.030630894278576e-02,  5.866697588892402e-02,  2.657292758812800e-01, -1.064299821400051e-01,  2.421972743782017e-01
  6.100000000000001e-01,  2.242779572644504e-01,  5.027615500975635e-02,  5.859265486378858e-02,  2.656718329083480e-01, -1.062616863090339e-01,  2.421314838343817e-01
  6.200000000000000e-01,  2.239939558995274e-01,  5.023911547219662e-02,  5.852783090636222e-02,  2.656166723352988e-01, -1.060937765116085e-01,  2.420588192298471e-01
  6.300000000000000e-01,  2.237064928408419e-01,  5.019580026057091e-02,  5.847196832415792e-02,  2.655631413597784e-01, -1.059257017407693e-01,  2.419803373443319e-01
  6.400000000000000e-01,  2.234147564856317e-01,  5.014684472646369e-02,  5.842451600116330e-02,  2.655105973250262e-01, -1.057569396221156e-01,  2.418971027013279e-01
