Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.000000000000000e+00,  2.147156284874720e-01,  1.737171698535844e-02,  2.487506149225548e-02,  1.722238086058785e-01, -3.894249797013723e-02,  3.100290192025433e-01
  1.010000000000000e+00,  2.194980494434151e-01,  1.703242899095470e-02,  2.460819098700064e-02,  1.738499192279356e-01, -4.037629136087707e-02,  3.096659791481728e-01
  1.020000000000000e+00,  2.245721907639406e-01,  1.667658159069640e-02,  2.433521006830456e-02,  1.755868740687430e-01, -4.186720003542811e-02,  3.092793475991152e-01
  1.030000000000000e+00,  2.300254650613215e-01,  1.629973257706441e-02,  2.405418864826151e-02,  1.774654128077611e-01, -4.343858206929298e-02,  3.088619758246025e-01
  1.040000000000000e+00,  2.359009445603140e-01,  1.589963262291016e-02,  2.376522174353728e-02,  1.795023153774087e-01, -4.509502128780483e-02,  3.084098784109462e-01
  1.050000000000000e+00,  2.422116224004626e-01,  1.547603932634423e-02,  2.346960042824963e-02,  1.817046240634229e-01, -4.682961499822599e-02,  3.079209850765531e-01
  1.060000000000000e+00,  2.489818838920453e-01,  1.502877653495971e-02,  2.316855215367357e-02,  1.840832574321206e-01, -4.863942181815375e-02,  3.073917865667701e-01
  1.070000000000000e+00,  2.562388052070206e-01,  1.455718924514504e-02,  2.286319922024939e-02,  1.866497556546019e-01, -5.051967038785314e-02,  3.068189274345201e-01
  1.080000000000000e+00,  2.640068170199810e-01,  1.406092618986210e-02,  2.255540200798382e-02,  1.894147031328232e-01, -5.246492299318010e-02,  3.061987767914537e-01
  1.090000000000000e+00,  2.723111551431775e-01,  1.353992939665738e-02,  2.224695260725018e-02,  1.923886217514932e-01, -5.446827791707529e-02,  3.055277175669976e-01
  1.100000000000000e+00,  2.811738770161446e-01,  1.299452084493513e-02,  2.194008240844066e-02,  1.955806059533515e-01, -5.652142359279255e-02,  3.048021170205134e-01
  1.110000000000000e+00,  2.906183821238055e-01,  1.242513363934905e-02,  2.163694805399945e-02,  1.989995149132730e-01, -5.861470745739947e-02,  3.040186540368785e-01
  1.120000000000000e+00,  3.006593892485756e-01,  1.183294133889179e-02,  2.134032185415234e-02,  2.026507420189412e-01, -6.073664821192414e-02,  3.031742477066566e-01
  1.130000000000000e+00,  3.113092803964312e-01,  1.121943583594498e-02,  2.105289853214732e-02,  2.065379474820203e-01, -6.287423300774028e-02,  3.022664925803674e-01
  1.140000000000000e+00,  3.225755697308946e-01,  1.058656581179895e-02,  2.077732449348925e-02,  2.106620959874831e-01, -6.501275016091110e-02,  3.012938793353151e-01
  1.150000000000000e+00,  3.344495010672958e-01,  9.937180993836892e-03,  2.051689339789506e-02,  2.150179294490546e-01, -6.713592940408887e-02,  3.002557171511634e-01
  1.160000000000000e+00,  3.469234074605453e-01,  9.274250290343122e-03,  2.027391170112238e-02,  2.195989575175762e-01, -6.922609988865737e-02,  2.991530236175611e-01
  1.170000000000000e+00,  3.599723872986919e-01,  8.601536907264284e-03,  2.005093338178224e-02,  2.243920370193315e-01, -7.126438277388529e-02,  2.979881989996193e-01
  1.180000000000000e+00,  3.735623021998138e-01,  7.923141999274019e-03,  1.984995680747427e-02,  2.293797098542205e-01, -7.323107868413765e-02,  2.967655249658182e-01
  1.190000000000000e+00,  3.876425393769694e-01,  7.243765478762709e-03,  1.967270550773726e-02,  2.345383657569595e-01, -7.510608927403542e-02,  2.954909551816324e-01
  1.200000000000000e+00,  4.021537522682091e-01,  6.568165472951026e-03,  1.952009933487710e-02,  2.398405684169398e-01, -7.686939497063255e-02,  2.941724571058933e-01
  1.210000000000000e+00,  4.170237281343355e-01,  5.901094190282619e-03,  1.939254105472829e-02,  2.452542996078287e-01, -7.850148273871591e-02,  2.928197813488768e-01
  1.220000000000000e+00,  4.321680141406279e-01,  5.247707585599670e-03,  1.928960752614026e-02,  2.507434211759941e-01, -7.998408545272731e-02,  2.914440486230321e-01
  1.230000000000000e+00,  4.474946424794167e-01,  4.612552000195391e-03,  1.921029878539070e-02,  2.562695210825267e-01, -8.130022767197509e-02,  2.900578265928373e-01
  1.240000000000000e+00,  4.629021472290544e-01,  3.999827703442982e-03,  1.915303333212921e-02,  2.617917996948026e-01, -8.243478184747004e-02,  2.886748012698629e-01
  1.250000000000000e+00,  4.782829448696894e-01,  3.413337736613675e-03,  1.911585865909335e-02,  2.672684359275671e-01, -8.337471490250023e-02,  2.873089101135274e-01
  1.260000000000000e+00,  4.935323909324003e-01,  2.857126073587013e-03,  1.909568169670739e-02,  2.726586742141879e-01, -8.410901948491697e-02,  2.859740349943060e-01
  1.270000000000000e+00,  5.085364803878166e-01,  2.333663846232348e-03,  1.909001776878276e-02,  2.779208176329444e-01, -8.462873572256943e-02,  2.846844839089110e-01
  1.280000000000000e+00,  5.231906014935136e-01,  1.845978689213990e-03,  1.909528805587841e-02,  2.830159557968920e-01, -8.492665279103322e-02,  2.834536104428234e-01
  1.290000000000000e+00,  5.373811855849693e-01,  1.395910887831642e-03,  1.910838855402086e-02,  2.879043227309341e-01, -8.499735030190275e-02,  2.822951185203110e-01
  1.300000000000000e+00,  5.510007646923162e-01,  9.850037058052319e-04,  1.912635897175121e-02,  2.925485113490676e-01, -8.483676358104832e-02,  2.812214223401216e-01
  1.310000000000000e+00,  5.639526555278397e-01,  6.153322062667499e-04,  1.914547731220845e-02,  2.969136518487607e-01, -8.444153860033976e-02,  2.802440982760955e-01
  1.320000000000000e+00,  5.761276361034521e-01,  2.876234592303906e-04,  1.916311869233523e-02,  3.009629666443774e-01, -8.380941789252350e-02,  2.793752045393926e-01
  1.330000000000000e+00,  5.874423931874793e-01,  3.853782406970652e-06,  1.917598157775923e-02,  3.046647975971415e-01, -8.293795755478266e-02,  2.786242766658121e-01
  1.340000000000000e+00,  5.977982899015561e-01, -2.354701548332727e-04,  1.918171368262288e-02,  3.079839004004711e-01, -8.182491984400915e-02,  2.780027653510547e-01
  1.350000000000000e+00,  6.071211453926720e-01, -4.286010673375529e-04,  1.917787103203800e-02,  3.108894953268730e-01, -8.046763867630001e-02,  2.775191640290541e-01
  1.360000000000000e+00,  6.153319640438045e-01, -5.745397162497667e-04,  1.916260271837795e-02,  3.133485304046660e-01, -7.886287857034847e-02,  2.771833360274606e-01
  1.370000000000000e+00,  6.223691370534035e-01, -6.716934785504503e-04,  1.913411290486001e-02,  3.153299684246688e-01, -7.700640818975105e-02,  2.770040888094961e-01
  1.380000000000000e+00,  6.281858892728193e-01, -7.181833080949218e-04,  1.909096489892616e-02,  3.168042617905675e-01, -7.489307291053468e-02,  2.769894145371433e-01
  1.390000000000000e+00,  6.327471903423940e-01, -7.131687671033671e-04,  1.903296821732961e-02,  3.177425310803328e-01, -7.251656314116849e-02,  2.771476338064479e-01
  1.400000000000000e+00,  6.360418646681824e-01, -6.551290609921878e-04,  1.896021483360366e-02,  3.181197097064912e-01, -6.986996637902304e-02,  2.774851280644334e-01
  1.410000000000000e+00,  6.380927183396523e-01, -5.419412404281676e-04,  1.887266362344613e-02,  3.179166381757620e-01, -6.694569514365438e-02,  2.780064526238547e-01
  1.420000000000000e+00,  6.389361248759760e-01, -3.733313362721535e-04,  1.877239167993854e-02,  3.171173327271646e-01, -6.373638657475786e-02,  2.787154920150432e-01
  1.430000000000000e+00,  6.386497388825777e-01, -1.486559406518317e-04,  1.866141479396032e-02,  3.157153208315076e-01, -6.023533010772064e-02,  2.796131016953157e-01
  1.440000000000000e+00,  6.373547158252589e-01,  1.315882978334404e-04,  1.854329933097940e-02,  3.137167331628130e-01, -5.643810213591723e-02,  2.806953291441649e-01
  1.450000000000000e+00,  6.351830901178113e-01,  4.659311118939691e-04,  1.842216635495655e-02,  3.111336071092576e-01, -5.234280267810499e-02,  2.819571119577283e-01
  1.460000000000000e+00,  6.323152260361747e-01,  8.515730114861952e-04,  1.830352559416195e-02,  3.079949620752221e-01, -4.795207463178372e-02,  2.833866983534276e-01
  1.470000000000000e+00,  6.289440407803573e-01,  1.284547314965412e-03,  1.819342402755584e-02,  3.043391225817655e-01, -4.327313783341886e-02,  2.849693917764278e-01
  1.480000000000000e+00,  6.252720826048589e-01,  1.759186136035318e-03,  1.809922360500541e-02,  3.002144922718158e-01, -3.831869474409820e-02,  2.866863259459255e-01
  1.490000000000000e+00,  6.215121870167726e-01,  2.268968172901342e-03,  1.802836868994086e-02,  2.956793804236300e-01, -3.310685254838214e-02,  2.885148635215207e-01
  1.500000000000000e+00,  6.178558517993684e-01,  2.805922414032880e-03,  1.798940487076017e-02,  2.907944338812771e-01, -2.766044157324964e-02,  2.904307107878014e-01
  1.510000000000000e+00,  6.144647958126391e-01,  3.361623594005936e-03,  1.799113450498148e-02,  2.856187212547024e-01, -2.200554060557836e-02,  2.924094764207179e-01
  1.520000000000000e+00,  6.114874711163227e-01,  3.927399597277503e-03,  1.804229055378388e-02,  2.802130758412086e-01, -1.617144507809882e-02,  2.944253608896261e-01
  1.530000000000000e+00,  6.090403474959946e-01,  4.494937293902934e-03,  1.815123981185303e-02,  2.746333990231611e-01, -1.018862560280280e-02,  2.964538252482073e-01
  1.540000000000000e+00,  6.071962506623817e-01,  5.056000955688589e-03,  1.832689881592828e-02,  2.689269185568906e-01, -4.087683931975484e-03,  2.984724436268610e-01
  1.550000000000000e+00,  6.060011978009567e-01,  5.603479911531206e-03,  1.857739463763095e-02,  2.631344942072525e-01,  2.101605454951457e-03,  3.004607468248502e-01
  1.560000000000000e+00,  6.054885901701471e-01,  6.131041740612186e-03,  1.891000805022991e-02,  2.572939700681150e-01,  8.350011980444437e-03,  3.023994854132680e-01
  1.570000000000000e+00,  6.056585344098668e-01,  6.633374321558971e-03,  1.933173804017732e-02,  2.514338928667067e-01,  1.463051631005611e-02,  3.042724819149900e-01
  1.580000000000000e+00,  6.064876890414874e-01,  7.106384440591862e-03,  1.984895713059214e-02,  2.455757003974120e-01,  2.091833153764509e-02,  3.060659684490374e-01
