Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  3.700000000000000e-01,  4.934569128611286e-03, -2.692370545876172e-01,  8.027811040152436e-02,  2.482670649474753e-02,  7.732872037421223e-01,  1.841733158893434e-02,  1.413537713353289e-01,  1.260976841788774e+00,  5.532674957717100e-01,  1.214390071489162e-01,  2.647411613399855e+00, -3.119286755963947e+00,  2.686679318267288e+00
  3.800000000000000e-01,  6.176933949021812e-03, -2.694976959845607e-01,  8.091939992304699e-02,  2.678489805348882e-02,  7.757619433516557e-01,  1.952114498151598e-02,  1.448238240275118e-01,  1.267354484057571e+00,  5.737519338396401e-01,  1.193847195558620e-01,  2.640122148489120e+00, -3.117076423231453e+00,  2.694205668051496e+00
  3.900000000000000e-01,  7.458974682341154e-03, -2.698513938897908e-01,  8.161701900087143e-02,  2.882910353722034e-02,  7.783080547735400e-01,  2.068202050672764e-02,  1.481681563453745e-01,  1.273796534551523e+00,  5.942465272574823e-01,  1.171909157162732e-01,  2.633162148048259e+00, -3.114644774233669e+00,  2.701798098752524e+00
  4.000000000000000e-01,  8.787314224990218e-03, -2.703080113402103e-01,  8.237818190672655e-02,  3.097228476057861e-02,  7.809375657229141e-01,  2.190778713251721e-02,  1.513725614936006e-01,  1.280374492287577e+00,  6.147968210879288e-01,  1.148293553194790e-01,  2.626561955458595e+00, -3.111942114983521e+00,  2.709465773412976e+00
  4.100000000000000e-01,  1.016376011810391e-02, -2.708749460607713e-01,  8.320706817442682e-02,  3.321952982574584e-02,  7.836530421192680e-01,  2.320138058015118e-02,  1.544157529927485e-01,  1.287098538289895e+00,  6.353757403548120e-01,  1.123105437545273e-01,  2.620353696841972e+00, -3.108968973285088e+00,  2.717192081536467e+00
  4.200000000000000e-01,  1.158796770511844e-02, -2.715584714679617e-01,  8.410651354953473e-02,  3.557241431172531e-02,  7.864527685554822e-01,  2.456354301978669e-02,  1.572727999631547e-01,  1.293964069255930e+00,  6.559246272479456e-01,  1.096560780420611e-01,  2.614587464319206e+00, -3.105745624598573e+00,  2.724948379135652e+00
  4.300000000000000e-01,  1.306204936917859e-02, -2.723681807800348e-01,  8.508185249681388e-02,  3.803715844388597e-02,  7.893395043957200e-01,  2.599800399210250e-02,  1.599096880916023e-01,  1.301034358638533e+00,  6.764106300597637e-01,  1.068409319656696e-01,  2.609321455309647e+00, -3.102230909457677e+00,  2.732725423034317e+00
  4.400000000000000e-01,  1.458728680245880e-02, -2.733125250178424e-01,  8.613765452672160e-02,  4.061850800108219e-02,  7.923143840857609e-01,  2.750732274945140e-02,  1.622954791826206e-01,  1.308347239332363e+00,  6.967916526720559e-01,  1.038600660226834e-01,  2.604603491846667e+00, -3.098406361262990e+00,  2.740506016673868e+00
  4.500000000000000e-01,  1.616082594635468e-02, -2.743927607241369e-01,  8.727374498186082e-02,  4.331312041028211e-02,  7.953709925393314e-01,  2.908833575069640e-02,  1.644243365607067e-01,  1.315813923078507e+00,  7.169899711087105e-01,  1.007969647327462e-01,  2.600427955490932e+00, -3.094366221698434e+00,  2.748249394299657e+00
  4.600000000000000e-01,  1.778349694181592e-02, -2.756162454509340e-01,  8.849415107122520e-02,  4.612487976928947e-02,  7.985095004000347e-01,  3.074274984776670e-02,  1.662672689109954e-01,  1.323479228268310e+00,  7.369631577025235e-01,  9.764085421581178e-02,  2.596833327840811e+00, -3.090085063025050e+00,  2.755943191320184e+00
  4.700000000000000e-01,  1.945299757636329e-02, -2.769844559487695e-01,  8.979912365780079e-02,  4.905142011330741e-02,  8.017243925279944e-01,  3.246783125735558e-02,  1.678142911907881e-01,  1.331301075987274e+00,  7.566461255973707e-01,  9.444030331088966e-02,  2.593818091046062e+00, -3.085613773626045e+00,  2.763559933665276e+00
  4.800000000000000e-01,  2.117247995240056e-02, -2.785086783392429e-01,  9.119548785803454e-02,  5.210132280265813e-02,  8.050198182338488e-01,  3.426818762712518e-02,  1.690189794026598e-01,  1.339413617945810e+00,  7.760197317234666e-01,  9.112102236208569e-02,  2.591446637390091e+00, -3.080840595969081e+00,  2.771106810970978e+00
  4.900000000000000e-01,  2.293473692888133e-02, -2.801802700502948e-01,  9.267717200780734e-02,  5.526214443697892e-02,  8.083814520578776e-01,  3.613394999239475e-02,  1.699018897052229e-01,  1.347656075665955e+00,  7.949922408541434e-01,  8.780936452125156e-02,  2.589655342963417e+00, -3.075919225402948e+00,  2.778539031184334e+00
  5.000000000000000e-01,  2.473859387724068e-02, -2.820011443450434e-01,  9.424521503508647e-02,  5.853342309711612e-02,  8.118057265227776e-01,  3.806335458103891e-02,  1.704436364882081e-01,  1.356064370106903e+00,  8.135255728332301e-01,  8.449371977557944e-02,  2.588453895979069e+00, -3.070821363870107e+00,  2.785850886390537e+00
  5.100000000000000e-01,  2.658042274328788e-02, -2.839677710908867e-01,  9.589728741304815e-02,  6.190949412798361e-02,  8.152847515915229e-01,  4.005104584996312e-02,  1.706405254775834e-01,  1.364617444181063e+00,  8.315720494219820e-01,  8.119876873405697e-02,  2.587820924856027e+00, -3.065567309310667e+00,  2.793028970206132e+00
