Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  2.000000000000000e+00,  1.467214403298799e+00,  1.931776510860475e-01,  5.864603344256979e-02,  1.785941660915544e+00, -1.824551865671186e-01,  5.112619637732571e-02
  2.010000000000000e+00,  1.471888520694604e+00,  1.935572285004641e-01,  5.807004530837381e-02,  1.787065434364690e+00, -1.838026519062753e-01,  5.052235521166146e-02
  2.020000000000000e+00,  1.476657789662661e+00,  1.939411798508133e-01,  5.749575759568423e-02,  1.788185295096383e+00, -1.851752512184199e-01,  4.990469223546300e-02
  2.030000000000000e+00,  1.481549849943226e+00,  1.943320131995621e-01,  5.692227753146197e-02,  1.789305088312235e+00, -1.865808893881740e-01,  4.926733331618791e-02
  2.040000000000000e+00,  1.486570593025770e+00,  1.947300994413408e-01,  5.635072722150452e-02,  1.790423180459593e+00, -1.880213863821573e-01,  4.860890524009466e-02
  2.050000000000000e+00,  1.491714193340931e+00,  1.951346620222207e-01,  5.578304244376404e-02,  1.791535261300298e+00, -1.894952489589437e-01,  4.793062837753120e-02
  2.060000000000000e+00,  1.496979302955566e+00,  1.955453708302410e-01,  5.522093075739321e-02,  1.792637921395283e+00, -1.910023631385586e-01,  4.723275035899568e-02
  2.070000000000000e+00,  1.502364396393105e+00,  1.959618780428940e-01,  5.466623494729402e-02,  1.793727577493237e+00, -1.925426807029726e-01,  4.651557857129727e-02
  2.080000000000000e+00,  1.507867954718153e+00,  1.963838710551256e-01,  5.412068998852701e-02,  1.794800699030845e+00, -1.941162273858345e-01,  4.577937907593672e-02
  2.090000000000000e+00,  1.513488214826315e+00,  1.968110023903336e-01,  5.358626458908122e-02,  1.795853507383208e+00, -1.957231140118372e-01,  4.502450783707017e-02
  2.100000000000000e+00,  1.519223339949536e+00,  1.972429390716934e-01,  5.306492969786583e-02,  1.796882189110281e+00, -1.973635417422062e-01,  4.425130783759632e-02
  2.110000000000000e+00,  1.525071380768917e+00,  1.976793536401034e-01,  5.255871303436351e-02,  1.797882860466556e+00, -1.990378068463111e-01,  4.346011462129669e-02
  2.120000000000000e+00,  1.531030277059298e+00,  1.981199264522693e-01,  5.206969284255359e-02,  1.798851578029145e+00, -2.007462987970289e-01,  4.265124163866506e-02
