Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  2.500000000000000e+00,  1.362484235553654e+00,  1.963838247654341e-01,  6.130737024269429e-02,  1.756895629863325e+00, -1.518531227715514e-01, -2.834944303586849e-02
  2.510000000000000e+00,  1.363878318382615e+00,  1.963862593572205e-01,  6.116760921320950e-02,  1.757100499592275e+00, -1.519133104049109e-01, -2.840876238898494e-02
  2.520000000000000e+00,  1.365333576125879e+00,  1.963950159946037e-01,  6.102418478774756e-02,  1.757317886884369e+00, -1.519846538924246e-01, -2.848605023335890e-02
  2.530000000000000e+00,  1.366868651348295e+00,  1.964122553727408e-01,  6.087626477374789e-02,  1.757551713422859e+00, -1.520709329660872e-01, -2.858743869343645e-02
  2.540000000000000e+00,  1.368490399628044e+00,  1.964389278243288e-01,  6.072353065372722e-02,  1.757803459259630e+00, -1.521738399632230e-01, -2.871557162387637e-02
  2.550000000000000e+00,  1.370198373974609e+00,  1.964752122075888e-01,  6.056590512452457e-02,  1.758073047672372e+00, -1.522936594295204e-01, -2.887081343161953e-02
  2.560000000000000e+00,  1.371995001105669e+00,  1.965215831831586e-01,  6.040319860282571e-02,  1.758360987624064e+00, -1.524312472428896e-01, -2.905441658993605e-02
  2.570000000000000e+00,  1.373882709448902e+00,  1.965785081459994e-01,  6.023521537914691e-02,  1.758667767867619e+00, -1.525874787517658e-01, -2.926763191577231e-02
  2.580000000000000e+00,  1.375863924040311e+00,  1.966464438678175e-01,  6.006175412564353e-02,  1.758993852972235e+00, -1.527632487735755e-01, -2.951170283073387e-02
  2.590000000000000e+00,  1.377941060954258e+00,  1.967258328591299e-01,  5.988260874640387e-02,  1.759339679365792e+00, -1.529594708576405e-01, -2.978785955468093e-02
  2.600000000000000e+00,  1.380116521711565e+00,  1.968170995682184e-01,  5.969756905967850e-02,  1.759705651211940e+00, -1.531770755595974e-01, -3.009731365054489e-02
  2.610000000000000e+00,  1.382392687887923e+00,  1.969206461954842e-01,  5.950642124793823e-02,  1.760092135820619e+00, -1.534170078278534e-01, -3.044125301229638e-02
  2.620000000000000e+00,  1.384771915907298e+00,  1.970368482925415e-01,  5.930894834241367e-02,  1.760499458596360e+00, -1.536802239610638e-01, -3.082083781713361e-02
