Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  1.000000000000000e-02, -2.771481297260464e-02, -2.671710698321226e-01,  6.556539983056880e-02, -2.456184816424791e-02,  7.089783070603597e-01, -1.133326587944900e-02, -2.596547970255586e-02,  4.950887902832865e-01,  9.061948963792907e-03,  3.989034180008861e-01, -2.198232431621853e+00, -2.886912402407758e+00,  2.044105363326525e+00
  2.000000000000000e-02, -2.767522028371086e-02, -2.673014954982373e-01,  6.563361509674742e-02, -2.447367275560656e-02,  7.090429065308362e-01, -1.124815791755775e-02, -2.576693208870205e-02,  4.950485007796042e-01,  8.634846020175507e-03,  3.990351647670717e-01, -2.198198113640864e+00, -2.887082239737365e+00,  2.044036115324200e+00
  3.000000000000000e-02, -2.763057934229278e-02, -2.674500885968495e-01,  6.571114640724744e-02, -2.437388501779087e-02,  7.091156009227623e-01, -1.115165794093665e-02, -2.554583956328721e-02,  4.950466859815747e-01,  8.141258001882215e-03,  3.991814864098562e-01, -2.198199418046085e+00, -2.887271108992355e+00,  2.043955876214127e+00
  4.000000000000000e-02, -2.757949508154459e-02, -2.676226002089336e-01,  6.580085910160033e-02, -2.425910490869385e-02,  7.091985601850476e-01, -1.104035663569939e-02, -2.529704618213744e-02,  4.950752053056105e-01,  7.557604019117344e-03,  3.993427405579018e-01, -2.198160531607364e+00, -2.887469168599019e+00,  2.043851379122597e+00
  5.000000000000000e-02, -2.752133946011824e-02, -2.678214262362245e-01,  6.590397126404564e-02, -2.412784799275573e-02,  7.092927781887179e-01, -1.091279484853941e-02, -2.501789853005421e-02,  4.951365480535310e-01,  6.874646946178781e-03,  3.995205730201505e-01, -2.198073665259501e+00, -2.887676657867290e+00,  2.043718991387048e+00
  6.000000000000000e-02, -2.745611215408272e-02, -2.680466051078128e-01,  6.602050592207773e-02, -2.398009278925705e-02,  7.093982509180202e-01, -1.076896854254039e-02, -2.470837571203769e-02,  4.952305646832101e-01,  6.092129537336862e-03,  3.997154617601882e-01, -2.197937245326655e+00, -2.887893303262596e+00,  2.043557333918296e+00
  7.000000000000001e-02, -2.738358471480608e-02, -2.682990137279698e-01,  6.615091496831094e-02, -2.381528753453754e-02,  7.095153383869016e-01, -1.060835375117455e-02, -2.436744448199673e-02,  4.953581627154925e-01,  5.206672764124975e-03,  3.999284550445504e-01, -2.197747980085276e+00, -2.888119130001712e+00,  2.043363983297844e+00
  8.000000000000000e-02, -2.730352399816783e-02, -2.685795484248913e-01,  6.629566142944762e-02, -2.363286676913234e-02,  7.096444076583763e-01, -1.043041689113433e-02, -2.399404177379463e-02,  4.955229609149944e-01,  4.214790528009551e-03,  4.001610306511286e-01, -2.197513639469583e+00, -2.888357582582888e+00,  2.043137945222610e+00
  9.000000000000000e-02, -2.721580665011505e-02, -2.688886546799473e-01,  6.645498517274624e-02, -2.343252805310275e-02,  7.097856545785906e-01, -1.023489420476940e-02, -2.358745560911778e-02,  4.957191316098887e-01,  3.114965418713314e-03,  4.004133621503467e-01, -2.197206326310410e+00, -2.888601221832748e+00,  2.042872940036205e+00
  1.000000000000000e-01, -2.712023199003215e-02, -2.692270397315473e-01,  6.662926376529563e-02, -2.321379246946830e-02,  7.099394002123789e-01, -1.002135539877893e-02, -2.314660675726522e-02,  4.959492639480195e-01,  1.904696995343433e-03,  4.006866421486621e-01, -2.196829408391322e+00, -2.888852674271388e+00,  2.042567202248253e+00
