Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  1.000000000000000e-02, -2.713217446548758e-02, -1.912778952117133e-01,  3.628933060832606e-02, -3.989147449523068e-02,  7.176712299049631e-01, -3.797026589036846e-02,  4.462574602165175e-01, -5.897366361396637e-01,  4.126686416255235e-01,  2.094395102393195e+00,  3.190665377798901e-04, -6.938893903907230e-17,  0.000000000000000e+00
  2.000000000000000e-02, -2.713217446524221e-02, -1.912778952117108e-01,  3.628933060834948e-02, -3.989147449507151e-02,  7.176712299049527e-01, -3.797026589060411e-02,  4.462574602163885e-01, -5.897366361397471e-01,  4.126686416251306e-01,  2.094395102393195e+00,  3.190665377797800e-04,  1.387778780781446e-17,  0.000000000000000e+00
  3.000000000000000e-02, -2.713217446524274e-02, -1.912778952117116e-01,  3.628933060834963e-02, -3.989147449507149e-02,  7.176712299049528e-01, -3.797026589060400e-02,  4.462574602163883e-01, -5.897366361397465e-01,  4.126686416251316e-01,  2.094395102393195e+00,  3.190665377796697e-04, -6.938893903907228e-17,  5.551115123125781e-17
  4.000000000000000e-02, -2.713217446525319e-02, -1.912778952117122e-01,  3.628933060834880e-02, -3.989147449506163e-02,  7.176712299049534e-01, -3.797026589060017e-02,  4.462574602163878e-01, -5.897366361397466e-01,  4.126686416251320e-01,  2.094395102393196e+00,  3.190665377797801e-04, -1.110223024625156e-16,  2.775557561562891e-17
  5.000000000000000e-02, -2.713217446524650e-02, -1.912778952117121e-01,  3.628933060834943e-02, -3.989147449506572e-02,  7.176712299049531e-01, -3.797026589060358e-02,  4.462574602163870e-01, -5.897366361397477e-01,  4.126686416251302e-01,  2.094395102393195e+00,  3.190665377794445e-04,  1.110223024625157e-16,  0.000000000000000e+00
  6.000000000000000e-02, -2.713217446524706e-02, -1.912778952117112e-01,  3.628933060834896e-02, -3.989147449506674e-02,  7.176712299049522e-01, -3.797026589060250e-02,  4.462574602163866e-01, -5.897366361397469e-01,  4.126686416251322e-01,  2.094395102393195e+00,  3.190665377798915e-04, -1.804112415015879e-16,  2.775557561562891e-17
  6.999999999999999e-02, -2.713217446524155e-02, -1.912778952117109e-01,  3.628933060834965e-02, -3.989147449507138e-02,  7.176712299049521e-01, -3.797026589060456e-02,  4.462574602163857e-01, -5.897366361397471e-01,  4.126686416251325e-01,  2.094395102393195e+00,  3.190665377794459e-04, -1.110223024625156e-16,  5.551115123125780e-17
  8.000000000000000e-02, -2.713217446524807e-02, -1.912778952117118e-01,  3.628933060834921e-02, -3.989147449506730e-02,  7.176712299049528e-01, -3.797026589060154e-02,  4.462574602163859e-01, -5.897366361397466e-01,  4.126686416251352e-01,  2.094395102393196e+00,  3.190665377796681e-04,  5.551115123125783e-17,  5.551115123125781e-17
  9.000000000000000e-02, -2.713217446525322e-02, -1.912778952117122e-01,  3.628933060834824e-02, -3.989147449506185e-02,  7.176712299049534e-01, -3.797026589059981e-02,  4.462574602163851e-01, -5.897366361397458e-01,  4.126686416251347e-01,  2.094395102393196e+00,  3.190665377798915e-04,  4.163336342344338e-17,  2.775557561562891e-17
  1.000000000000000e-01, -2.713217446526052e-02, -1.912778952117113e-01,  3.628933060834787e-02, -3.989147449505776e-02,  7.176712299049525e-01, -3.797026589059652e-02,  4.462574602163857e-01, -5.897366361397454e-01,  4.126686416251382e-01,  2.094395102393196e+00,  3.190665377793325e-04, -1.387778780781446e-17, -5.551115123125783e-17
  1.100000000000000e-01, -2.713217446524205e-02, -1.912778952117108e-01,  3.628933060834946e-02, -3.989147449507092e-02,  7.176712299049521e-01, -3.797026589060426e-02,  4.462574602163840e-01, -5.897366361397459e-01,  4.126686416251350e-01,  2.094395102393195e+00,  3.190665377795580e-04, -4.163336342344337e-17, -5.551115123125781e-17
  1.200000000000000e-01, -2.713217446524713e-02, -1.912778952117111e-01,  3.628933060834928e-02, -3.989147449506628e-02,  7.176712299049521e-01, -3.797026589060279e-02,  4.462574602163835e-01, -5.897366361397460e-01,  4.126686416251354e-01,  2.094395102393195e+00,  3.190665377798875e-04, -1.387778780781445e-17, -8.326672684688674e-17
  1.300000000000000e-01, -2.713217446525223e-02, -1.912778952117113e-01,  3.628933060834887e-02, -3.989147449506105e-02,  7.176712299049529e-01, -3.797026589060135e-02,  4.462574602163828e-01, -5.897366361397453e-01,  4.126686416251352e-01,  2.094395102393195e+00,  3.190665377800017e-04, -9.714451465470120e-17, -1.110223024625157e-16
  1.400000000000000e-01, -2.713217446525298e-02, -1.912778952117121e-01,  3.628933060834899e-02, -3.989147449506152e-02,  7.176712299049532e-01, -3.797026589060048e-02,  4.462574602163825e-01, -5.897366361397445e-01,  4.126686416251372e-01,  2.094395102393196e+00,  3.190665377800001e-04, -8.326672684688674e-17, -8.326672684688674e-17
  1.500000000000000e-01, -2.713217446525376e-02, -1.912778952117112e-01,  3.628933060834860e-02, -3.989147449506197e-02,  7.176712299049526e-01, -3.797026589059975e-02,  4.462574602163829e-01, -5.897366361397447e-01,  4.126686416251384e-01,  2.094395102393196e+00,  3.190665377796654e-04, -4.163336342344337e-17, -1.110223024625156e-16
  1.600000000000000e-01, -2.713217446524827e-02, -1.912778952117110e-01,  3.628933060834909e-02, -3.989147449506684e-02,  7.176712299049527e-01, -3.797026589060187e-02,  4.462574602163821e-01, -5.897366361397448e-01,  4.126686416251384e-01,  2.094395102393196e+00,  3.190665377798916e-04, -6.938893903907228e-17, -1.110223024625157e-16
  1.700000000000000e-01, -2.713217446525329e-02, -1.912778952117112e-01,  3.628933060834855e-02, -3.989147449506140e-02,  7.176712299049522e-01, -3.797026589060024e-02,  4.462574602163814e-01, -5.897366361397449e-01,  4.126686416251386e-01,  2.094395102393196e+00,  3.190665377797771e-04, -1.387778780781446e-17, -1.110223024625156e-16
  1.800000000000000e-01, -2.713217446524779e-02, -1.912778952117110e-01,  3.628933060834915e-02, -3.989147449506650e-02,  7.176712299049524e-01, -3.797026589060221e-02,  4.462574602163809e-01, -5.897366361397449e-01,  4.126686416251391e-01,  2.094395102393196e+00,  3.190665377794453e-04, -1.387778780781446e-16, -8.326672684688674e-17
  1.900000000000000e-01, -2.713217446524275e-02, -1.912778952117117e-01,  3.628933060834958e-02, -3.989147449507252e-02,  7.176712299049524e-01, -3.797026589060357e-02,  4.462574602163804e-01, -5.897366361397445e-01,  4.126686416251407e-01,  2.094395102393195e+00,  3.190665377797788e-04,  1.249000902703301e-16, -1.110223024625157e-16
  2.000000000000000e-01, -2.713217446525300e-02, -1.912778952117122e-01,  3.628933060834842e-02, -3.989147449506220e-02,  7.176712299049528e-01, -3.797026589059994e-02,  4.462574602163800e-01, -5.897366361397449e-01,  4.126686416251403e-01,  2.094395102393195e+00,  3.190665377794458e-04, -4.163336342344336e-17, -2.220446049250314e-16
  2.100000000000000e-01, -2.713217446525252e-02, -1.912778952117123e-01,  3.628933060834857e-02, -3.989147449506152e-02,  7.176712299049536e-01, -3.797026589060079e-02,  4.462574602163791e-01, -5.897366361397440e-01,  4.126686416251401e-01,  2.094395102393195e+00,  3.190665377796659e-04, -1.526556658859590e-16, -1.942890293094024e-16
  2.200000000000000e-01, -2.713217446525303e-02, -1.912778952117122e-01,  3.628933060834859e-02, -3.989147449506162e-02,  7.176712299049534e-01, -3.797026589059997e-02,  4.462574602163787e-01, -5.897366361397438e-01,  4.126686416251419e-01,  2.094395102393195e+00,  3.190665377797780e-04, -1.665334536937735e-16, -1.110223024625156e-16
  2.300000000000000e-01, -2.713217446524835e-02, -1.912778952117110e-01,  3.628933060834896e-02, -3.989147449506752e-02,  7.176712299049527e-01, -3.797026589060118e-02,  4.462574602163790e-01, -5.897366361397434e-01,  4.126686416251434e-01,  2.094395102393195e+00,  3.190665377798916e-04,  1.665334536937735e-16, -1.387778780781445e-16
  2.400000000000000e-01, -2.713217446524777e-02, -1.912778952117110e-01,  3.628933060834900e-02, -3.989147449506718e-02,  7.176712299049528e-01, -3.797026589060166e-02,  4.462574602163780e-01, -5.897366361397438e-01,  4.126686416251433e-01,  2.094395102393195e+00,  3.190665377798914e-04, -4.163336342344337e-17, -5.551115123125783e-17
  2.500000000000000e-01, -2.713217446525245e-02, -1.912778952117114e-01,  3.628933060834859e-02, -3.989147449506152e-02,  7.176712299049530e-01, -3.797026589060056e-02,  4.462574602163772e-01, -5.897366361397439e-01,  4.126686416251421e-01,  2.094395102393196e+00,  3.190665377800004e-04, -1.110223024625157e-16, -1.387778780781445e-16
  2.600000000000001e-01, -2.713217446525187e-02, -1.912778952117123e-01,  3.628933060834894e-02, -3.989147449506118e-02,  7.176712299049534e-01, -3.797026589060166e-02,  4.462574602163766e-01, -5.897366361397438e-01,  4.126686416251414e-01,  2.094395102393196e+00,  3.190665377797782e-04, -1.387778780781446e-16, -1.110223024625157e-16
